Lyric,label,clean_lyrics
jhené aiko what's up been a minute since we kicked it you've been caught up with them bitches i don't get it you're a star love you shouldn't have to deal with that i'd never make you feel like that 'cause   jhené aiko i love me i love me enough for the both of us that's why you trust me i know you been through more than most of us so what are you what are you what are you so afraid of darling you you give but you cannot take love   drake yeah i needed to hear that shit i hate when you're submissive passive aggressive when we're texting i feel the distance i look around the peers that surround me these niggas tripping i like when money makes a difference but don't make you different started realizing a couple places i could take it i want to get back to when i was that kid in the basement i want to take it deeper than money pussy vacation and influence a generation that's lacking in patience i've been dealing with my dad speaking of lack of patience just me and my old man getting back to basics we've been talking 'bout the future and time that we wasted when he put that bottle down girl that nigga's amazing well fuck it we had a couple coronas we might have rolled a white paper just something to hold us we even talked about you and our couple of moments he said we should hash it out like a couple of grown ups you a flower child beautiful child i'm in your zone looking like you came from the 70's on your own my mother is 66 and her favorite line to hit me with is who the fuck wants to be 70 and alone you don't even know what you want from love anymore i search for something i'm missing and disappear when i'm bored but girl what qualities was i looking for before who you settling for who better for you than the boy huh   jhené aiko i love me i love me enough for the both of us that's why you trust me i know you been through more than most of us so what are you what are you what are you so afraid of darling you you give but you cannot take love   drake uh thinking 'bout texas back when porscha used to work at treasures or further back than that before i had the houston leverage when i got summer a michael kors with my momma's debit a weak attempt at flexing i'll never forget it 'cause that night i played her three songs then we got to talking 'bout something we disagreed on then she start telling me how i'll never be as big as trey songz boy was she wrong that was just negative energy for me to feed off now it's therapeutic blowing money in the galleria or beverly center macy's where i discovered bria landmarks of the muses that inspired the music when i could tell it was sincere without tryna prove it the one that i needed was courtney from hooters on peachtree i've always been feeling like she was the piece to complete me now she engaged to be married what's the rush on commitment know we were going through some shit name a couple that isn't remember our talk in the parking lot at the ritz girl i felt like we had it all planned out i guess i fucked up the vision learning the true consequences of my selfish decisions when you find out how i'm living i just hope i'm forgiven it seem like you don't want this love anymore i'm acting out in the open it's hard for you to ignore but girl what qualities was i looking for before who you settling for who better for you than the boy huh   jhené aiko i love me i love me enough for the both of us that's why you trust me i know you been through more than most of us so what are you what are you what are you so afraid of darling you you give but you cannot take love   baka been baka aka not nice from time g been a east side ting scarborough ting from time g been have up di ting dem from time g so i don't know what's wrong with these little wasteman out here eh y'all need to know yourself,Drake,jhené aiko minute kick catch bitch star love deal feel like 'cause    jhené aiko love love trust know afraid darle love    drake yeah need hear shit hate submissive passive aggressive texte feel distance look peer surround niggas trip like money make difference different start realize couple place want kid basement want deeply money pussy vacation influence generation lack patience deal dad speak lack patience old man get basic talk 'bout future time waste bottle girl nigga amazing fuck couple corona roll white paper hold talk couple moment say hash like couple grow up flower child beautiful child zone look like come mother favorite line hit fuck want know want love anymore search miss disappear bored girl quality look settle well boy huh    jhené aiko love love trust know afraid darle love    drake uh think 'bout texas porscha work treasure houston leverage get summer michael kor momma debit weak attempt flex forget 'cause night play song get talk 'bout disagree start tell big trey songz boy wrong negative energy feed therapeutic blow money galleria beverly center macy discover bria landmark muse inspire music tell sincere tryna prove need courtney hooter peachtree feel like piece complete engage marry rush commitment know go shit couple remember talk parking lot ritz girl feel like plan guess fuck vision learn true consequence selfish decision find live hope forgive like want love anymore act open hard ignore girl quality look settle well boy huh    jhené aiko love love trust know afraid darle love    baka baka aka nice time g east ting scarborough te time g di ting dem time g know wrong little wasteman eh you need know
produced by noah 40 shebib   i can see it in your eyes you're angry regret got shit on what you're feelin' now mad cause he ain't like me oh you mad cause nobody ever did it like me all the care i would take all the love that we made now you're trying to find somebody to replace what i gave to you it's a shame you didn't keep it alisha catya i know that you gon' hear this i'm the man yeah i said it bitch i'm the man don't you forget it the way you walk that's me the way you talk that's me the way you've got your hair up did you forget that's me and the voice in your speaker right now that's me that's me and the voice in your ear that's me can't you see that i made it yeah i made it first i made you who you are and then i made it and you're wasted with your latest yeah i'm the reason why you always getting faded   take a shot for me ohohohoh ohohohoh take a shot for me ohohohoh ohohohoh take a shot for me uhhuh uhhuh ohwoah oh woah a shot for me uhhuh uhhuh ohwoah oh woah a shot for me   ok look i'm honest girl i can't lie i miss you you and the music were the only things that i'd commit to i never cheated for the record back when i was with you but you believed in everything but me girl i don't get you she says i know you changed i never see you cause you're always busy doing things i really wish she had a different way of viewing things i think the city that we're from just kinda ruined things it's such a small place not much to do but talk and listen the men are jealous and the women all in competition and all your friends telling you stories that you often misinterpret and taint all the images of your mr perfect i could tell that you been crying all night drinking all summer prayin' for your happiness hope that you recover uh this is one i know you hated when you heard it and it's worse because you know that i deserve it   take a shot for me ohohohoh ohohohoh take a shot for me ohohohoh ohohohoh take a shot for me uhhuh uhhuh ohwoah oh woah a shot for me uhhuh uhhuh ohwoah oh woah a shot for me   yeah may your neighbors respect you trouble neglect you angels protect you and heaven accept you,Drake,produce noah shebib    eye angry regret get shit feelin mad cause be like oh mad cause like care love try find somebody replace give shame alisha catya know gon hear man yeah say bitch man forget way walk way talk way get hair forget voice speaker right voice ear yeah waste late yeah reason getting fade    shot ohohohoh ohohohoh shot ohohohoh ohohohoh shot uhhuh uhhuh ohwoah oh woah shot uhhuh uhhuh ohwoah oh woah shot    ok look honest girl lie miss music thing commit cheat record believe girl say know change cause busy thing wish different way view thing think city kinda ruin thing small place talk listen man jealous woman competition friend tell story misinterpret taint image mr perfect tell cry night drink summer prayin happiness hope recover uh know hate hear bad know deserve    shot ohohohoh ohohohoh shot ohohohoh ohohohoh shot uhhuh uhhuh ohwoah oh woah shot uhhuh uhhuh ohwoah oh woah shot    yeah neighbor respect trouble neglect angel protect heaven accept
yeah i'm working on dying   i'm upset fifty thousand on my head it's disrespect so offended that i had to double check i'ma always take the money over sex that's why they need me out the way what you expect   got a lot of blood and it's cold they keep tryna get me for my soul thankful for the women that i know can't go fiftyfifty with no ho every month i'm supposed to pay her bills and get her what she want i still got like seven years of doin' what i want my dad still got child support from 99 one one one outta town people love to pop a lot of shit then come around word to flacko jodye he done seen us put it down niggas askin' if i'm cool   i'm upset 'set 'set hunnid thousand on my head it's disrespect disrespect so offended that i had to double check   you tryna check this is real life niggas think we playin' chess so what's next jump up out the bed like i'm possessed i go out on tour and i say i'm drinkin' less end up gettin' loose and gettin' pictures from my ex ex ex ex ex sms triple x that's the only time i ever shoot below the neck skrr why you keep on shootin' if you know that nigga dead skrr that's the only kind of shit that gets you some respect  refrain got a lot of blood and it's cold they keep tryna get me for my soul for my soul thankful for the women that i know can't go fiftyfifty with no ho ayy ayy every month she don't even love me she just puttin' on a front front she gon' try and settle outta court and make a run then gon' ask me how i'm doin'   i'm upset 'set 'set half a million on my head i can accept yeah 'least it makes me feel like someone tried their best yeah want to waste a half a million be my guest made me wanna buy a vest and a tec skrr but i'm blessed i just checked checked checked hate me never met me in the flesh flesh said she's got some things she gotta come here and collect that shit is in a box to the left to the left left left left   got a lot of blood and it's cold they keep tryna get me for my soul for my soul thankful for the women that i know that i know can't go fiftyfifty with no ho,Drake,yeah work die    upset head disrespect offend double check money sex need way expect    get lot blood cold tryna soul thankful woman know fiftyfifty ho month suppose pay bill want get like year do want dad get child support outta town people love pop lot shit come word flacko jodye see niggas askin cool    upset set set hunnid head disrespect disrespect offend double check    tryna check real life nigga think playin chess jump bed like possess tour drinkin end gettin loose gettin picture ex ex ex ex ex sms triple x time shoot neck skrr shootin know nigga dead skrr kind shit get respect   refrain get lot blood cold tryna soul soul thankful woman know fiftyfifty ho ayy ayy month love puttin gon try settle outta court run gon ask do    upset set set half head accept yeah make feel like try good yeah want waste half guest wanna buy vest tec skrr bless check check check hate meet flesh flesh say get thing get to come collect shit box left left left leave leave    get lot blood cold tryna soul soul thankful woman know know fiftyfifty ho
look i ain't never had a benzo nope i pushed me an ac wit the tintzo nosey niggas is peakin' in my window have a hard time looking i tell you second hand that's a hard grind cooking cause my pop was in it so deep if his son wanted in it these dealers would probably drop percentage instead i drop bars like i'm two months sober its my time now so them you months over  yeah if i want it i find me a way to get that i'm trying to get to the point where i can sit back took a lot of patience and action i grind so i'm anticipating relaxing i'm thinking bout replacing the jacksons on top of the charts i don't need brothers fillin' space in the back than so from the kid with the sun tan flow the hottest ticket in town to this one man show   i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die   i can easily make'em admit to bounce back without knowing exactly where my accounts at yeah you best believe that i often tend to surpass what the rest achieve so they don't like me and throw parties and yet they never invite me i can't lie sometime it bother me slightly  either way the true fans yell i appear calm and its obvious so who can tell and no this ain't blu cantrell this is like perfection though we both got the light complexion couple things that i do that well and the way that i jackson you think that drake new saml as in samuel jackson i've been real though  they stay kicking it with me like a field goal see i'm humble but i live vain with more deals on the table than a  game   i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die,Drake,look be benzo nope push ac wit tintzo nosey niggas peakin window hard time look tell hand hard grind cooking cause pop deep son want dealer probably drop percentage instead drop bar like month sober time month   yeah want find way try point sit take lot patience action grind anticipate relax think bout replace jackson chart need brother fillin space kid sun tan flow hot ticket town man    think know know people checkin get to understand motherfucking day die think know know people checkin get to understand motherfucking day die    easily make'em admit bounce know exactly account yeah well believe tend surpass rest achieve like throw party invite lie bother slightly   way true fan yell appear calm obvious tell be blu cantrell like perfection get light complexion couple thing way jackson think drake new saml samuel jackson real   stay kick like field goal humble live vain deal table   game    think know know people checkin get to understand motherfucking day die think know know people checkin get to understand motherfucking day die
aww man ho yes hahaha yeah can y'all hear me out there it's a lovely night tonight ain't it yeah i know i know what they thinkin' they ain't heard the beat they aleady scared you know how i get down but look i'm just gon keep it real   drake i'd like to know if there is a chemical imbalance in your makeup yeah gotta be something wrong with you baby sometimes i wonder wonder if you plan half of this shit before i wake up ohh yeah callin my exgirl or emailin my mama damn you're the only one that's causin me this drama and then expect favors yea when you come in town and i know if i see you guaranteed it's goin down  hook cause too stay with this girl ho you couldn't pay me i respect a woman but this bitch is crazy hahaha this bitch is crazy yea this bitch is crazy i respect a woman i do but this bitch is crazy   she don't even know that's the craziest part right she just oblivious to the whole shit like and you know like i was sayin sometimes i gotta get my rb on you know i wanna wear the wife beaters with the slit at the top so i can tear it easy and all that i wanna sing in the rain girl you know what i'm talkin bout yea i need a rb name too like uh like uh like i don't know i'll think of it hey hahaha you crazy man for real ho oh well nigga fall back ho goddamn i said it without sayin' it man,Drake,aww man ho yes hahaha yeah you hear lovely night tonight be yeah know know thinkin be hear beat aleady scare know look gon real    drake like know chemical imbalance makeup yeah get to wrong baby wonder wonder plan half shit wake ohh yeah callin exgirl emailin mama damn causin drama expect favor yea come town know guarantee goin   hook cause stay girl ho pay respect woman bitch crazy hahaha bitch crazy yea bitch crazy respect woman bitch crazy    know crazy right oblivious shit like know like sayin get to rb know wanna wear wife beater slit tear easy wanna sing rain girl know talkin bout yea need rb like uh like uh like know think hey hahaha crazy man real ho oh nigga fall ho goddamn say sayin man
i'm tryna do it all tonight i got plans i got a certain lust for life and as it stands everything is going as right as it can they tryna shoot down my flight before it lands before it lands but you could miss me with all that diss me then crawl back i really wish y'all would fall back but gettin' rich s'posed to solve that and these days women make offers and who the hell am i to say no no no my ex sendin' late night texts 'cause she don't know how to let go go go uh she in love and as for them pretty lightskinned models standin' in the cold ah yeah they with us let them girls in for a drink and i'm all in they ear sayin' she should be the one i see every time that i'm here but when am i really even here black suburban with the tint on it fresher than a pillow with a mint on it the game got these old handprints on it but i'mma be the one to pour cement on it uh and start over and show up in a margiela tux i don't really give a fuck and we only gettin' older so what i tend to do is to think of today as the past it's funny when you comin' in first but you hope that you last you just hope that it last   throw your ones up in the air throw your ones up in the air for her ohoh throw your ones up in the air throw your ones up,Drake,tryna tonight get plan get certain lust life stand go right tryna shoot flight land land miss diss crawl wish you fall gettin rich s'pose solve day woman offer hell ex sendin late night text 'cause know let uh love pretty lightskinne model standin cold ah yeah let girl drink ear sayin time black suburban tint fresh pillow mint game get old handprint i'mma pour cement uh start margiela tux fuck gettin old tend think today past funny comin hope hope    throw one air throw one air ohoh throw one air throw one
lyrics from snippet  drake trust me this ain't about revenge but now i get along better with your friend,Drake,lyric snippet   drake trust be revenge well   friend
drake damn i done walked in here looking like the motherfucking man of the year think i had the motherfucking plan of the year which was simply to make groupie fans of my peers and i get my girl whatever she desire and my niggas get whatever they require these rappers old im the reason they expire plus i got a city that i carey like mariah damn that punch line was predictable i still got you shitting bricks homie quit the bull and we dont need new members to me the clique is full and i be getting the same women that tip can pull believe or not i receive a lot so i be wearing the same gucci that jeezy got and i be buying the louis that kanyeezy cop and i be ripping the same records that weezy rock this shit is easy pop thats why im ready man id never copy norbit like eddie man did you get it eddie murphy was in norbit or was it way over your head did you forfeit yeah i take a woman shopping in a store quick her ass big she just trying to make a four fit yeah they need to issue out a recall im going up and they heading into a freefall the fundamentals are needed you playing streetball and i was out at bet but i didnt see yall these skeelo rappers wishing they could be tall letting all their fake friends use them like a free stall   lil wayne damn i done walked in here looking like the motherfucking man of the year my shades so dark and my ice so bright my buddy in my pants wanna fight your wife like round one round two round three i told you not to ever bring a bitch round me cause aint no nigga like a young money nigga no aint no nigga like me ya dig   drake i said i know you see me chilling super low key if im with the right niggas you can scoop an oz all the hustlers and the bouncers and the groupies know me fresh denim fresh shades in a coupe with no keys it start up when i touch the door and i encourage ladies to touch the floor as soon as we finish cutting we can cut some more then after you get high make em get em girl you finna get low lights dimmed down got a lota dough plus a hit sound what you mean you aint heard i come highly recommended everybody my friend even if they been offended they aint really got a choice its an obvious decision you tryna make a come up in my city its a given plus a nigga famous plus i got a vision not to mention having bars like a motherfucking prison they taking too long their records on hold they threatened by my presence cause i make them feel old guaranteed if they drop they bragging bout what they sold just remember where i live at fifty thousand's going gold holla at me when you see me make yourself known instead of hatin on my music in the comfort of your home nigga be a man you acting like a bitch i aint acting like im rude im just acting like im rich rich riding with weezy fucking baby are you the type of girl that me and weezy fucking baby cause i dont waste time cant you see a nigga lazy and i might need some help but you know weezys fucking crazy   lil wayne damn i done walked in here looking like the motherfucking man of the year my shades so dark and my ice so bright my buddy in my pants wanna fight your wife like round one round two round three i told you not to ever bring a bitch round me cause aint no nigga like a young money nigga no aint no nigga like me ya dig  spoken word lil wayne ym bitch everyday two times on sunday spitta check your blinkers baby check your blinkers baby cause to me look like youve been turning right all day yeah right my way i got a boulevard baby thats right cash avenue wall street gangsta carter y'all why would i lie yeah i aint rich bitch im wealthy young i talk shit til i die come kill me nigga fuck you no homo she like it yeah boy these motherfucking glasses i got on right now are so motherfucking cold   lil wayne damn i done walked in here looking like the motherfucking man of the year my shades so dark and my ice so bright my buddy in my pants wanna fight your wife like round one round two round three i told you not to ever bring a bitch round me cause aint no nigga like a young money nigga no aint no nigga like me ya dig,Drake,drake damn walk look like motherfucke man year think motherfucke plan year simply groupie fan peer girl desire niggas require rapper old m reason expire plus get city carey like mariah damn punch line predictable get shit brick homie quit bull not need new member clique get woman tip pull believe receive lot wear gucci jeezy get buy louis kanyeezy cop rip record weezy rock shit easy pop s m ready man d copy norbit like eddie man eddie murphy norbit way head forfeit yeah woman shop store quick ass big try fit yeah need issue recall m go head freefall fundamental need play streetball bet not you skeelo rapper wish tall let fake friend use like free stall    lil wayne damn walk look like motherfucke man year shade dark ice bright buddy pant wanna fight wife like round round round tell bring bitch round cause be not nigga like young money nigga be not nigga like ya dig    drake say know chill super low key m right niggas scoop oz hustler bouncer groupie know fresh denim fresh shade coupe key start touch door encourage lady touch floor soon finish cut cut high em em girl finna low light dim get lota dough plus hit sound mean be not hear come highly recommend everybody friend offend be not get choice obvious decision tryna come city give plus nigga famous plus get vision mention have bar like motherfucke prison take long record hold threaten presence cause feel old guarantee drop brag bout sell remember live go gold holla know instead hatin music comfort home nigga man act like bitch be not act like m rude m act like m rich rich riding weezy fucking baby type girl weezy fucking baby cause not waste time not nigga lazy need help know weezy fucking crazy    lil wayne damn walk look like motherfucke man year shade dark ice bright buddy pant wanna fight wife like round round round tell bring bitch round cause be not nigga like young money nigga be not nigga like ya dig   speak word lil wayne ym bitch everyday time sunday spitta check blinker baby check blinker baby cause look like ve turn right day yeah right way get boulevard baby s right cash avenue wall street gangsta carter you lie yeah be not rich bitch m wealthy young talk shit til die come kill nigga fuck homo like yeah boy motherfucke glass get right motherfucke cold    lil wayne damn walk look like motherfucke man year shade dark ice bright buddy pant wanna fight wife like round round round tell bring bitch round cause be not nigga like young money nigga be not nigga like ya dig
unruly unruly maddas who keeps bringing more i've had too many this virginia done me off already i'm blem for real i might just say how i feel i'm blem for real i might just say how i feel   don't switch on me i got big plans we need to forward to the islands and get you gold no spray tans i need you to stop runnin' back to your ex he's a wasteman i wanna know how come we can never slash and stay friends i'm blem for real i might just say how i feel i'm blem for real i might just say how i feel   'cause i know what i like i know how i wanna live my life i don't need no advice you're not here and we both know why so move from me when you're extra move from me with the passa i'm buildin' up a house where they raised me you move with me i'll go crazy   don't switch on me i got big plans we need to forward to the islands and get you gold no spray tans i need you to stop runnin' back to your ex he's a wasteman i wanna know how come we can never slash and stay friends i'm blem for real i might just say how i feel i'm blem for real i might just say how i feel   i know we can't keep it together forever 'cause you're crazy sometimes and i only see you sometimes move from me when you're extra move from me with the passa i'm buildin' up a house where they raised me you move with me i'll go look just   don't switch on me i got big plans we need to forward to the islands and get you gold no spray tans i need you to stop runnin' back to your ex he's a wasteman i wanna know how come we can never slash and stay friends i'm blem for real i might just say how i feel i'm blem for real i might just say how i feel   lil wayne  lionel richie together forever good morning good afternoon good night i'm here to talk about more life one second,Drake,unruly unruly madda keep bring virginia blem real feel blem real feel    switch get big plan need forward island gold spray tan need stop runnin ex wasteman wanna know come slash stay friend blem real feel blem real feel    'cause know like know wanna live life need advice know extra passa buildin house raise crazy    switch get big plan need forward island gold spray tan need stop runnin ex wasteman wanna know come slash stay friend blem real feel blem real feel    know forever 'cause crazy extra passa buildin house raise look    switch get big plan need forward island gold spray tan need stop runnin ex wasteman wanna know come slash stay friend blem real feel blem real feel    lil wayne   lionel richie forever good morning good afternoon good night talk life
this the record that my backpack underground fans get to skippin' back back southern town fans get to tippin' chasin' fat stacks runnin' down grands and submission i don't back track every single sound for me different i don't own no ice i just got clean rap i don't ever two step i just rock lean snap we could take it out to houston where the rides all glossed up anybody i'm standin' beside's all bossed up burglar minded they say i'm servin' them rhymers and me and nickel f go together like burgers and diners yes i'm like a waiter and you something like a hater with trays in both hands place an order i can cater uh i got the diamonds in my teeth flow memphis is the reason that my rhyming and my speech slow peep though when i get fed up its sped up riding through the streets just reclining in my seat hoe uh them city lights is looking brighter its  am in the morning an' the pen is like a lighter im just a writer flaming pages of a notebook my rachel mcadams get at em when i ignite her yup soon as a couple plan a trip you smell gasoline im burning all up and down the strip strip i done said it i give you the unleaded just tip me if your tank is empty come get me  hook yo the city is mine  which one toronto drake that's me you know how the story goes pull up range rove yo chick wanna roll and i play myself in the stereo and i make 'em wanna shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go   break it down like you working for your tuition at howard mama get it how you live that thang that you working is power tryna be generous so honey here's a tip nowadays it's gettin cheaper to put 0's on the whip so if you a opportunist look for 0's in the clip and if you find 'em attractive and funny that's when you dip dip and it's a trip my city broke into sections up north i got me a couple of troubles couple connections and it's nothing that i created on purpose there's people that gotta problem but they scared to let it surface uh ya boy say this that and the third to 'em see me out and they never utter a word to 'em expect me not to draw a card from the deck anybody in my city going hard i respect but you got a debt and you choose not to pay that i'mma hop ya fence come into your yard and collect lect uh it ain't a problem of concern bruh i always end up with exactly what i earn bruh this ain't last year money like a cashier so hand your receipt if you tryna make a return bruh yessir i live in a city where a lot of people don't get shine shine and i be on by the fence as soon as anybody stepping out of line line and i got way too much love for the city i can never get too much of and if anybody hatin' on me i deport 'em the city is mine boy  hook yo the city is mine  which one toronto drake that's me you know how the story goes pull up range rove yo chick wanna roll and i play myself in the stereo and i make 'em wanna shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go   after that break it down break it break it down after that break it down break it break it down after that break it down break it break it down after that break it down break it break it down,Drake,record backpack underground fan skippin southern town fan tippin chasin fat stack runnin grand submission track single sound different ice get clean rap step rock lean snap houston ride gloss anybody standin boss burglar minded servin rhymer nickel f like burger diner yes like waiter like hater tray hand place order cater uh get diamond tooth flow memphis reason rhyming speech slow peep feed speed ride street recline seat hoe uh city light look bright   morning pen like light m writer flame page notebook rachel mcadams em ignite yup soon couple plan trip smell gasoline m burn strip strip say unleade tip tank come   hook yo city   toronto drake know story goes pull range rove yo chick wanna roll play stereo them wanna shake shake drop drop bounce bounce wop wop girl thang like gettin money college shake shake drop drop bounce bounce wop wop girl thang like gettin money college    break like work tuition howard mama live thang work power tryna generous honey tip nowadays gettin cheap whip opportunist look clip find them attractive funny dip dip trip city break section north get couple trouble couple connection create purpose people get to problem scare let surface uh ya boy them utter word them expect draw card deck anybody city go hard respect get debt choose pay i'mma hop ya fence come yard collect lect uh be problem concern bruh end exactly earn bruh be year money like cashier hand receipt tryna return bruh yessir live city lot people shine shine fence soon anybody step line line get way love city anybody hatin deport them city boy   hook yo city   toronto drake know story goes pull range rove yo chick wanna roll play stereo them wanna shake shake drop drop bounce bounce wop wop girl thang like gettin money college shake shake drop drop bounce bounce wop wop girl thang like gettin money college    break break break break break break break break break break break break
